Course,Year,GPA
CS 8751,2013.0,4.0
CS 8750,2007.0,4.0
CS 8750,2008.0,4.0
CS 8750,2009.0,3.5
CS 8750,2010.0,4.0
CS 8750,2011.0,3.65
CS 8750,2012.0,4.0
CS 8750,2013.0,2.0
CSE 6242,2013.0,4.0
CS 4699,2004.0,3.8456097560975615
CS 4699,2005.0,3.7916666666666665
CS 4699,2006.0,3.803921568627451
CS 4699,2007.0,3.895348837209302
CS 4699,2008.0,3.8833333333333337
CS 4699,2009.0,3.8392156862745095
CS 4699,2010.0,3.9658974358974355
CS 4699,2011.0,3.7319148936170214
CS 4699,2012.0,3.7766666666666664
CS 4699,2013.0,3.8
CS 6795,2000.0,3.0
CS 6795,2001.0,3.33
CS 6795,2002.0,3.5
CS 6795,2003.0,3.13
CS 6795,2004.0,3.67
CS 6795,2005.0,3.5
CS 6795,2006.0,3.65
CS 6795,2007.0,3.67
CS 6795,2010.0,3.78
CS 6795,2012.0,3.65
CS 6795,2013.0,3.9
CS 4270,2000.0,3.71
CS 4270,2001.0,4.0
CS 4270,2002.0,4.0
CS 4270,2003.0,4.0
CS 4270,2007.0,4.0
CS 4270,2008.0,3.96
CS 4270,2010.0,3.94
CS 4270,2011.0,3.8
CS 4270,2012.0,3.44
CS 6750,1999.0,3.4699999999999998
CS 6750,2000.0,3.456666666666667
CS 6750,2001.0,3.465
CS 6750,2002.0,3.205
CS 6750,2003.0,3.353333333333333
CS 6750,2004.0,3.2466666666666666
CS 6750,2005.0,3.4299999999999997
CS 6750,2006.0,3.64
CS 6750,2007.0,3.3533333333333335
CS 6750,2008.0,3.65
CS 6750,2009.0,3.796666666666667
CS 6750,2010.0,3.6133333333333333
CS 6750,2011.0,3.67
CS 6750,2012.0,3.56
CS 6750,2013.0,3.72
CS 6330,2001.0,3.67
CS 6330,2003.0,3.11
CS 6330,2004.0,3.08
CS 6330,2005.0,3.4
CS 6330,2008.0,3.56
CS 6265,2002.0,3.57
CS 6265,2003.0,4.0
CS 6265,2004.0,4.0
CS 6265,2005.0,4.0
CS 6265,2006.0,3.78
CS 6265,2007.0,4.0
CS 6265,2008.0,3.76
CS 6265,2009.0,2.41
CS 6265,2010.0,3.71
CS 6265,2011.0,3.65
CS 6265,2012.0,3.61
CS 4480,2000.0,4.0
CS 4480,2001.0,3.88
